GID,LBL,VAL
가다7667,,0.0000000000
가다7672,,0.0000000000
가다7765,,0.0000000000
가다7766,,0.0000000000
가다7767,,0.0000000000
가다7769,,0.0000000000
가다7771,,0.0000000000
가다7772,,0.0000000000
가다7865,,0.0000000000
가다7866,,0.0000000000
가다7867,"32.00",32.0000000000
가다7868,"4.00",4.0000000000
가다7869,,0.0000000000
가다7870,,0.0000000000
가다7871,,0.0000000000
가다7964,,0.0000000000
가다7965,,0.0000000000
가다7966,,0.0000000000
가다7967,,0.0000000000
가다7968,"22.00",22.0000000000
가다7969,,0.0000000000
가다8064,"96.00",96.0000000000
가다8065,"2.00",2.0000000000
가다8066,,0.0000000000
가다8067,,0.0000000000
가다8068,,0.0000000000
가다8164,"246.00",246.0000000000
가다8165,,0.0000000000
가다8166,,0.0000000000
가다8264,,0.0000000000
가다8265,,0.0000000000
가라8633,,0.0000000000
가라8732,,0.0000000000
가라8733,,0.0000000000
가라8734,,0.0000000000
가라8735,,0.0000000000
가라8832,,0.0000000000
가라8833,,0.0000000000
가라8834,"363.00",363.0000000000
가라8835,,0.0000000000
가라8836,,0.0000000000
가라8838,,0.0000000000
가라8933,,0.0000000000
가라8934,,0.0000000000
가라8935,,0.0000000000
가라8936,,0.0000000000
가라8937,"78.00",78.0000000000
가라8938,,0.0000000000
가라8939,,0.0000000000
가라9035,,0.0000000000
가라9036,,0.0000000000
가라9037,,0.0000000000
가라9038,,0.0000000000
가라9505,,0.0000000000
가라9506,,0.0000000000
가라9507,,0.0000000000
가라9601,,0.0000000000
가라9602,,0.0000000000
가라9603,,0.0000000000
가라9604,,0.0000000000
가라9605,"14.00",14.0000000000
가라9606,"58.00",58.0000000000
가라9607,"2.00",2.0000000000
가라9608,,0.0000000000
가라9700,,0.0000000000
가라9701,"83.00",83.0000000000
가라9702,"28.00",28.0000000000
가라9703,,0.0000000000
가라9707,,0.0000000000
가라9708,,0.0000000000
가라9709,,0.0000000000
가라9801,,0.0000000000
가라9810,,0.0000000000
가라9901,,0.0000000000
가사4699,,0.0000000000
가사4796,,0.0000000000
가사4797,,0.0000000000
가사4798,,0.0000000000
가사4799,,0.0000000000
가사4895,,0.0000000000
가사4896,,0.0000000000
가사4897,"8.00",8.0000000000
가사4898,"196.00",196.0000000000
가사4899,,0.0000000000
가사4981,,0.0000000000
가사4982,,0.0000000000
가사4995,"76.00",76.0000000000
가사4996,,0.0000000000
가사4997,,0.0000000000
가사4998,"90.00",90.0000000000
가사4999,"55.00",55.0000000000
가사5081,,0.0000000000
가사5083,,0.0000000000
가사5084,,0.0000000000
가사5095,"32.00",32.0000000000
가사5096,,0.0000000000
가사5097,,0.0000000000
가사5098,"82.00",82.0000000000
가사5099,"431.00",431.0000000000
가사5181,,0.0000000000
가사5182,,0.0000000000
가사5183,,0.0000000000
가사5184,,0.0000000000
가사5194,,0.0000000000
가사5195,"160.00",160.0000000000
가사5196,"38.00",38.0000000000
가사5197,,0.0000000000
가사5198,,0.0000000000
가사5199,"1036.00",1036.0000000000
가사5281,,0.0000000000
가사5282,"20.00",20.0000000000
가사5283,"37.00",37.0000000000
가사5284,"4.00",4.0000000000
가사5285,,0.0000000000
가사5294,,0.0000000000
가사5295,,0.0000000000
가사5296,"175.00",175.0000000000
가사5297,"6.00",6.0000000000
가사5298,,0.0000000000
가사5299,"50.00",50.0000000000
가사5382,,0.0000000000
가사5383,,0.0000000000
가사5384,"261.00",261.0000000000
가사5385,"225.00",225.0000000000
가사5386,,0.0000000000
가사5387,,0.0000000000
가사5394,,0.0000000000
가사5395,"8.00",8.0000000000
가사5396,,0.0000000000
가사5397,,0.0000000000
가사5398,,0.0000000000
가사5399,,0.0000000000
가사5482,,0.0000000000
가사5483,"79.00",79.0000000000
가사5484,"369.00",369.0000000000
가사5485,"50.00",50.0000000000
가사5486,"175.00",175.0000000000
가사5494,,0.0000000000
가사5495,,0.0000000000
가사5496,,0.0000000000
가사5497,"1.00",1.0000000000
가사5498,,0.0000000000
가사5499,"3.00",3.0000000000
가사5575,,0.0000000000
가사5576,,0.0000000000
가사5577,"1.00",1.0000000000
가사5582,,0.0000000000
가사5583,,0.0000000000
가사5584,"1.00",1.0000000000
가사5585,,0.0000000000
가사5586,,0.0000000000
가사5597,,0.0000000000
가사5598,"283.00",283.0000000000
가사5599,"10.00",10.0000000000
가사5675,,0.0000000000
가사5676,,0.0000000000
가사5677,"33.00",33.0000000000
가사5678,"2.00",2.0000000000
가사5685,,0.0000000000
가사5686,,0.0000000000
가사5698,"99.00",99.0000000000
가사5699,"1.00",1.0000000000
가사5777,,0.0000000000
가사5778,"106.00",106.0000000000
가사5798,"25.00",25.0000000000
가사5799,,0.0000000000
가사5877,,0.0000000000
가사5878,"53.00",53.0000000000
가사5898,,0.0000000000
가사5899,,0.0000000000
가사5977,,0.0000000000
가사5978,,0.0000000000
가사5979,,0.0000000000
가사6079,,0.0000000000
가아4600,"2.00",2.0000000000
가아4601,"35.00",35.0000000000
가아4700,"3.00",3.0000000000
가아4701,"8.00",8.0000000000
가아4800,,0.0000000000
가아4801,,0.0000000000
가아4900,"20.00",20.0000000000
가아4901,,0.0000000000
가아5000,,0.0000000000
가아5001,,0.0000000000
가아5100,,0.0000000000
가아5101,,0.0000000000
가아5200,"8.00",8.0000000000
가아5201,"10.00",10.0000000000
가아5300,"38.00",38.0000000000
가아5301,"62.00",62.0000000000
가아5400,"74.00",74.0000000000
가아5401,"10.00",10.0000000000
가아5500,"1597.00",1597.0000000000
가아5501,"89.00",89.0000000000
가아5600,"22.00",22.0000000000
가아5601,,0.0000000000
가아5700,,0.0000000000
나나7380,,0.0000000000
나나7480,,0.0000000000
나나7481,,0.0000000000
나나7577,"16.00",16.0000000000
나나7578,"111.00",111.0000000000
나나7579,"3.00",3.0000000000
나나7580,"64.00",64.0000000000
나나7581,,0.0000000000
나나7582,"139.00",139.0000000000
나나7583,"24.00",24.0000000000
나나7584,"2.00",2.0000000000
나나7675,,0.0000000000
나나7676,"117.00",117.0000000000
나나7677,"110.00",110.0000000000
