x,y,GID,LBL,VAL
775000,1565000,가다76,"58.00",58.0000000000
775000,1575000,가다77,,
785000,1565000,가다86,"344.00",344.0000000000
785000,1635000,가라83,"441.00",441.0000000000
795000,1605000,가라90,"185.00",185.0000000000
795000,1615000,가라91,,
795000,1635000,가라93,,
745000,1985000,가사48,,
745000,1995000,가사49,"425.00",425.0000000000
755000,1975000,가사57,"195.00",195.0000000000
755000,1985000,가사58,"1221.00",1221.0000000000
755000,1995000,가사59,"2440.00",2440.0000000000
765000,1975000,가사67,,
745000,2005000,가아40,"68.00",68.0000000000
755000,2005000,가아50,"1910.00",1910.0000000000
875000,1475000,나나77,"3043.00",3043.0000000000
875000,1485000,나나78,"3913.00",3913.0000000000
885000,1455000,나나85,"91.00",91.0000000000
885000,1465000,나나86,"662.00",662.0000000000
885000,1475000,나나87,"24515.00",24515.0000000000
885000,1485000,나나88,"8830.00",8830.0000000000
885000,1495000,나나89,"17716.00",17716.0000000000
895000,1475000,나나97,"13726.00",13726.0000000000
895000,1485000,나나98,"1045.00",1045.0000000000
895000,1495000,나나99,"27923.00",27923.0000000000
815000,1585000,나다18,"68.00",68.0000000000
845000,1575000,나다47,"20.00",20.0000000000
845000,1585000,나다48,"123.00",123.0000000000
855000,1575000,나다57,,
855000,1585000,나다58,"226.00",226.0000000000
855000,1595000,나다59,"171.00",171.0000000000
865000,1585000,나다68,"674.00",674.0000000000
865000,1595000,나다69,"1183.00",1183.0000000000
875000,1585000,나다78,"116.00",116.0000000000
875000,1595000,나다79,"640.00",640.0000000000
885000,1525000,나다82,,
885000,1545000,나다84,,
885000,1555000,나다85,"906.00",906.0000000000
885000,1595000,나다89,"895.00",895.0000000000
895000,1505000,나다90,"1278.00",1278.0000000000
895000,1525000,나다92,,
895000,1545000,나다94,"3.00",3.0000000000
895000,1555000,나다95,"640.00",640.0000000000
895000,1585000,나다98,,
895000,1595000,나다99,"119.00",119.0000000000
805000,1625000,나라02,"83.00",83.0000000000
805000,1635000,나라03,"534.00",534.0000000000
815000,1625000,나라12,,
815000,1635000,나라13,"1683.00",1683.0000000000
815000,1645000,나라14,"52.00",52.0000000000
835000,1615000,나라31,,
845000,1625000,나라42,"149.00",149.0000000000
845000,1635000,나라43,,
845000,1645000,나라44,,
855000,1615000,나라51,,
855000,1625000,나라52,"101.00",101.0000000000
855000,1635000,나라53,"2589.00",2589.0000000000
855000,1645000,나라54,"1763.00",1763.0000000000
855000,1655000,나라55,,
855000,1665000,나라56,,
855000,1675000,나라57,"3.00",3.0000000000
855000,1685000,나라58,,
855000,1695000,나라59,,
865000,1605000,나라60,"89.00",89.0000000000
865000,1615000,나라61,"515.00",515.0000000000
865000,1625000,나라62,"1848.00",1848.0000000000
865000,1635000,나라63,"930.00",930.0000000000
865000,1645000,나라64,"974.00",974.0000000000
865000,1655000,나라65,"2078.00",2078.0000000000
865000,1665000,나라66,,
865000,1675000,나라67,"650.00",650.0000000000
865000,1685000,나라68,,
875000,1605000,나라70,"3007.00",3007.0000000000
875000,1615000,나라71,"309.00",309.0000000000
875000,1625000,나라72,"1994.00",1994.0000000000
875000,1635000,나라73,"1936.00",1936.0000000000
875000,1645000,나라74,"2741.00",2741.0000000000
875000,1655000,나라75,"1124.00",1124.0000000000
875000,1665000,나라76,"1405.00",1405.0000000000
875000,1675000,나라77,"2551.00",2551.0000000000
875000,1685000,나라78,"651.00",651.0000000000
875000,1695000,나라79,"300.00",300.0000000000
885000,1605000,나라80,"5683.00",5683.0000000000
885000,1615000,나라81,"10426.00",10426.0000000000
885000,1625000,나라82,"1430.00",1430.0000000000
885000,1635000,나라83,"720.00",720.0000000000
885000,1645000,나라84,"131.00",131.0000000000
885000,1655000,나라85,"1636.00",1636.0000000000
885000,1665000,나라86,"830.00",830.0000000000
885000,1675000,나라87,"4179.00",4179.0000000000
885000,1685000,나라88,"1220.00",1220.0000000000
885000,1695000,나라89,,
895000,1605000,나라90,"1996.00",1996.0000000000
895000,1615000,나라91,"3430.00",3430.0000000000
895000,1625000,나라92,"4469.00",4469.0000000000
895000,1635000,나라93,"7203.00",7203.0000000000
895000,1645000,나라94,"112767.00",112767.0000000000
895000,1655000,나라95,"4299.00",4299.0000000000
895000,1665000,나라96,"4425.00",4425.0000000000
895000,1675000,나라97,"3202.00",3202.0000000000
895000,1685000,나라98,"2723.00",2723.0000000000
895000,1695000,나라99,"4998.00",4998.0000000000
865000,1705000,나마60,"180.00",180.0000000000
865000,1795000,나마69,"267.00",267.0000000000
875000,1705000,나마70,,
875000,1715000,나마71,,
875000,1735000,나마73,"25.00",25.0000000000
875000,1745000,나마74,"51.00",51.0000000000
875000,1765000,나마76,,
885000,1705000,나마80,,
885000,1735000,나마83,"293.00",293.0000000000
885000,1775000,나마87,,
885000,1785000,나마88,,
895000,1705000,나마90,"502.00",502.0000000000
895000,1715000,나마91,,
895000,1725000,나마92,,
895000,1735000,나마93,"734.00",734.0000000000
895000,1755000,나마95,"88.00",88.0000000000
895000,1765000,나마96,"255.00",255.0000000000
825000,1845000,나바24,,
835000,1855000,나바35,,
845000,1845000,나바44,,
845000,1855000,나바45,,
845000,1885000,나바48,,
855000,1855000,나바55,"1.00",1.0000000000
855000,1885000,나바58,,
865000,1805000,나바60,"2.00",2.0000000000
865000,1855000,나바65,,
865000,1895000,나바69,"141.00",141.0000000000
875000,1805000,나바70,"349.00",349.0000000000
875000,1835000,나바73,,
875000,1845000,나바74,,
875000,1855000,나바75,"1332.00",1332.0000000000
875000,1865000,나바76,"1902.00",1902.0000000000
875000,1875000,나바77,"4.00",4.0000000000
875000,1895000,나바79,,
885000,1805000,나바80,"198.00",198.0000000000
885000,1815000,나바81,"181.00",181.0000000000
885000,1825000,나바82,"2.00",2.0000000000
885000,1835000,나바83,,
